id,STEM_subjects,H_subjects,Residence_city,Socioeconomic_level,Civil_status,Age,State,Province,Vulnerable_group,Desired_program,Family_income,Father_level,Mother_level,Dropout,MIN_subject
193,62.3,53.4,LOCAL,2,Single,28,LOCAL,NEIGHBOR,2,UNSPECIFIED,550000,PRIMARY SCHOOL,HIGH SCHOOL,NO,53.4
194,56.0,56.0,LOCAL,2,Single,38,LOCAL,LOCAL,2,UNSPECIFIED,5345435,PRIMARY SCHOOL,UNDERGRADUATE,NO,56.0
195,46.7,51.5,LOCAL,2,Married,36,LOCAL,LOCAL,2,UNSPECIFIED,1200000,HIGH SCHOOL,HIGH SCHOOL,YES,46.7
196,45.3,41.1,LOCAL,2,Single,31,LOCAL,LOCAL,2,UNSPECIFIED,500000,PRIMARY SCHOOL,PRIMARY SCHOOL,YES,41.1
197,50.8,56.4,LOCAL,2,Single,25,LOCAL,LOCAL,2,UNSPECIFIED,1500000,PRIMARY SCHOOL,UNDERGRADUATE,NO,50.8
198,50.3,42.8,LOCAL,3,Single,26,LOCAL,LOCAL,2,INFORMATIC ENGINEERING,0,TECHNICAL,TECHNICAL,NO,42.8
199,47.5,45.3,LOCAL,3,Free union,35,LOCAL,NEIGHBOR,2,UNSPECIFIED,3000000,TECHNICAL,TECHNOLOGIST,NO,45.3
200,55.1,55.3,LOCAL,2,Single,27,LOCAL,LOCAL,1,UNSPECIFIED,1000000,PRIMARY SCHOOL,PRIMARY SCHOOL,YES,55.1
201,49.3,44.8,LOCAL,1,Single,25,LOCAL,NEIGHBOR,2,INFORMATIC ENGINEERING,2000000,HIGH SCHOOL,HIGH SCHOOL,NO,44.8
202,53.7,41.1,LOCAL,2,Single,25,LOCAL,NEIGHBOR,2,UNSPECIFIED,5000000,UNDERGRADUATE,HIGH SCHOOL,YES,41.1
203,48.5,49.5,LOCAL,2,Single,33,LOCAL,LOCAL,2,UNSPECIFIED,900000,TECHNICAL,TECHNICAL,NO,48.5
204,43.4,46.2,NEIGHBOR,1,Single,30,FOREIGN,FOREIGN,2,INFORMATIC ENGINEERING,0,TECHNICAL,TECHNICAL,YES,43.4
